"MSA","Counties","Wage Index","GAF"
"3760","1 Kansas City, KS-MO Johnson, KS Leavenworth, KS Miami, KS Wyandotte, KS Cass, MO Clay, MO Clinton, MO Jackson, MO Lafayette, MO Platte, MO Ray, MO","0.9629","0.9744"
"3800","Kenosha, WI Kenosha, WI","0.9765","0.9838"
"3810","Killeen-Temple, TX Bell, TX Coryell, TX","0.9276","0.9498"
"3840","Knoxville, TN Anderson, TN Blount, TN Knox, TN Loudon, TN Sevier, TN Union, TN","0.8524","0.8964"
"3850","Kokomo, IN Howard, IN Tipton, IN","0.9023","0.9320"
"3870","2 La Crosse, WI-MN Houston, MN La Crosse, WI","0.9496","0.9652"
"3880","Lafayette, LA Acadia, LA Lafayette, LA St. Landry, LA St. Martin, LA","0.8116","0.8668"
"3920","Lafayette, IN Clinton, IN Tippecanoe, IN","0.9051","0.9340"
"3960","Lake Charles, LA Calcasieu, LA","0.7977","0.8566"
"3980","Lakeland-Winter Haven, FL Polk, FL","0.8943","0.9264"
"4000","Lancaster, PA Lancaster, PA","0.9896","0.9929"
"4040","Lansing-East Lansing, MI Clinton, MI Eaton, MI Ingham, MI","0.9653","0.9761"
"4080","Laredo, TX Webb, TX","0.8775","0.9144"
"4100","Las Cruces, NM Dona Ana, NM","0.8759","0.9133"
"4120","1 Las Vegas, NV-AZ Mohave, AZ Clark, NV Nye, NV","1.1092","1.0736"
"4150","2 Lawrence, KS Douglas, KS","0.8129","0.8677"
"4200","Lawton, OK Comanche, OK","0.8249","0.8765"
"4243","Lewiston-Auburn, ME Androscoggin, ME","0.9552","0.9691"
"4280","Lexington, KY Bourbon, KY Clark, KY Fayette, KY Jessamine, KY Madison, KY Scott, KY Woodford, KY","0.9198","0.9444"
"4320","Lima, OH Allen, OH Auglaize, OH","0.9239","0.9472"
"4360","Lincoln, NE Lancaster, NE","1.0180","1.0123"
"4400","Little Rock-North Little Rock, AR Faulkner, AR Lonoke, AR Pulaski, AR Saline, AR","0.8840","0.9190"
"4420","Longview-Marshall, TX Gregg, TX Harrison, TX Upshur, TX","0.8743","0.9121"
"4480","1 Los Angeles-Long Beach, CA Los Angeles, CA","1.1742","1.1162"
"4520","1 Louisville, KY-IN Clark, IN Floyd, IN Harrison, IN Scott, IN Bullitt, KY Jefferson, KY Oldham, KY","0.9166","0.9421"
"4600","Lubbock, TX Lubbock, TX","0.8774","0.9143"
"4640","Lynchburg, VA Amherst, VA Bedford, VA Bedford City, VA Campbell, VA Lynchburg City, VA","0.9026","0.9322"
"4680","Macon, GA Bibb, GA Houston, GA Jones, GA Peach, GA Twiggs, GA","0.9625","0.9742"
"4720","Madison, WI Dane, WI","1.0390","1.0265"
"4800","Mansfield, OH Crawford, OH Richland, OH","0.9114","0.9384"
"4840","Mayaguez, PR Anasco, PR Cabo Rojo, PR Hormigueros, PR Mayaguez, PR Sabana Grande, PR San German, PR","0.4764","0.6018"
"4880","McAllen-Edinburg-Mission, TX Hidalgo, TX","0.8603","0.9021"
"4890","Medford-Ashland, OR Jackson, OR","1.0533","1.0362"
"4900","Melbourne-Titusville-Palm Bay, FL Brevard, Fl","0.9625","0.9742"
"4920","1 Memphis, TN-AR-MS Crittenden, AR DeSoto, MS Fayette, TN Shelby, TN Tipton, TN","0.9239","0.9472"
"4940","Merced, CA Merced, CA","1.0526","1.0357"
"5000","1 Miami, FL Dade, FL","0.9870","0.9911"
"5015","1, 2 Middlesex-Somerset-Hunterdon, NJ Hunterdon, NJ Middlesex, NJ Somerset, NJ","1.1788","1.1192"
"5080","1 Milwaukee-Waukesha, WI Milwaukee, WI Ozaukee, WI Washington, WI Waukesha, WI","1.0081","1.0055"
"5120","1 Minneapolis-St. Paul, MN-WI Anoka, MN Carver, MN Chisago, MN Dakota, MN Hennepin, MN Isanti, MN Ramsey, MN Scott, MN Sherburne, MN Washington, MN Wright, MN Pierce, WI St. Croix, WI","1.1044","1.0704"
"5140","Missoula, MT Missoula, MT","0.9630","0.9745"
"5160","Mobile, AL Baldwin, AL Mobile, AL","0.7934","0.8534"
"5170","Modesto, CA Stanislaus, CA","1.1993","1.1325"
"5190","1, 2 Monmouth-Ocean, NJ Monmouth, NJ Ocean, NJ","1.1788","1.1192"
"5200","Monroe, LA Ouachita, LA","0.7917","0.8522"
"5240","Montgomery, AL Autauga, AL Elmore, AL Montgomery, AL","0.8311","0.8810"
"5280","2 Muncie, IN Delaware, IN","0.8740","0.9119"
"5330","Myrtle Beach, SC Horry, SC","0.9017","0.9316"
"5345","Naples, FL Collier, FL","1.0531","1.0361"
"5360","1 Nashville, TN Cheatham, TN Davidson, TN Dickson, TN Robertson, TN Rutherford TN Sumner, TN Williamson, TN Wilson, TN","1.0096","1.0066"
"5380","1 Nassau-Suffolk, NY Nassau, NY Suffolk, NY","1.2928","1.1923"
"5483","1 New Haven-Bridgeport-Stamford-Waterbury- Danbury, CT Fairfield, CT New Haven, CT","1.2272","1.1505"
"5523","New London-Norwich, CT New London, CT","1.1627","1.1087"
